en,ja
"Yes, he was.",そうね
Your majesty.,陛下。
They're alive. My wife and son.,妻と息子はきっと生きている
"With a little, additional oversight.",多少監視の目は厳しくなるが
I should have a birthday more often.,誕生日なら毎月でも良い
He knows a lot.,彼は　物事をよく知ってるけど
"The bears in the north and the foxes of the south, all the birds in the sky and the beasts in the sea--",北の熊も南の狐も　空の鳥も　海の獣も全て―
"Yeah,the whole plane.",機内のな
"What a, what do you call it, a poetic turn of events.",言うなれば、 災い転じて、福となる
"No hiding, no waiting. You keep going.",隠れたりせず　進み続けろ
"Full citizenship for myself. Well, that goes without saying.",完全な合衆国の市民権、 これは言うまでもありませんな。
Maybe you were tempted To leave a note.,恐らく書き置きも？
"Yeah, I get both sides.",（ｱﾙﾏﾝ）俺も両方の側も分かる
What do you think?,どう思います？
"-lt's not just your father, Jesse.",父さんは悪くない
By bodybuilders.,ボディビルダーに
- Huh! Can't leave you alone for a minute?,- 1分位　一人で居られないの？
"They know our names, our faces.",- 行くの？
"Convince Klaus to help us, and no one has to know about the newest member of the original family.",私たちを助けるために クラウスを説得するのよ そしてこのことは 一切他言無用 他のオリジナル家族にはね
Who told that to you?,どうしてそのことを知っているの
The only thing that's gonna help them is more Cipro.,助けるのに 必要なのはシプロだけよ
"I said, ""She forgives you for the pendant. """,言ったでしょう 「ペンダントのこと 彼女は あなたを許すと言ってる」と
"I figured if I went through with it, I could call in an anonymous tip, tell the police about who Anne really was, and she'd get the blame.",それで主人を殺して 警察に匿名で アンの正体を密告すれば 彼女が疑われる
Beers.,ビールに
"Oh, yes.",ああ　そうだな
"The stakes are much clearer than they usually are in thesetypes of battles. Mittal has an obvious interest in gaining controlof Arcelor in order to improve its global geographic balance, boostits market share in high-end steel products, and reduce itsvulnerability to the speculative jolts that occur in the raw steelmarket.",利害関係は、このタイプの戦いにおける通常のものよりも、ずっと明らかである。ミタルはアルセロルの支配権を握ることに明白な興味がある。それは、世界地理上のバランスを改善し、ハイエンドの鋼製品の市場に占めるシェアを増大し、そして、鋼鉄市場で起こる投機的なショックに対する弱さを減らすためである。
I'm the one who decides what's best for the crew.,クルーにとって何が最善か 判断するのは私の役目だ
I don't know the details.,"""詳細は不明だ"""
"Toby! Throw it back here, brother. We need you.",トビー お前も手を出せ
"Now our agents believe that this man may be connected to dozens of unsolved homicides and assaults over the years, many of them here in New York in the last six months.",我々はこの男が ここ数年の未解決殺人などに 関ってるに違いないと ここNYでもこの６ヶ月で
"All right, fine, just w-, just give me a second, all right?",マシンは成功した　ベン 一緒に来て欲しい 今？
Don't worry.,気にしないで
"And glorify Him for some portion of the night, and additional adorations.",また夜も，かれを讃えて唱念しなさい，また礼拝の終りにも。
Don't be angry with Dad.,お父さんに怒らないで
You'll be summoned to appear before the High Command... to account for your actions.,自分の行為の説明のために 最高司令部に召喚されるだろう
"What are they saying, Finch?",彼らは何を言ってる　フィンチ？
Matt needs someone to take care of him.,マットには 世話して くれる人が必要だわ
I'm not the only one the FBI will be interested in.,FBIが興味を持つのは 俺だけではない
"Come on, man. This song is important to me.",さあ この歌は俺には大事なんだ
"Robby, next time give me a goddamn heads up.",次は報告しろよ
Matty!,マティー！
♪ I trace it all back to then,私はあの日に思い出す
I was surprised and unless I'm unprepared.,きなりの事で何の用意もありません
Okay. Something did feel wrong that day.,いいわ　その日は何かおかしいと思ったの
Excuse me.,聞こえなかったんですが...
"Yes, I think so.",ああ　そう思う
"And if he be of the Companions of the Right Hand,",もしかれが，右手の仲間であるならば，
Lucky night at the casino.,カジノでの幸運の一夜か
I'm Rudy.,ルディだ
Read this.,これを見て
- Why would I come out?,- 出るもんか
You can't make it better. Don't try.,- うまくいかない　やめとけ
Stay right where you are!,そこを動くな
We haven't been that lucky.,運がなかった
"- You should have let them, Jesus Christ!",- 逃がせばいいだろ
"She's no good to me in the Dark Forest, lost!",暗闇の森で失った？ それでは済まないのよ
That's the one. I prefer him.,そう　彼がいい
I said stop!,動かないで！
I sold the books.,私は本を売った。
So you live around here or what?,このあたりに住んでる？
She does have to take my advice now.,彼女は今、 私の助言を聞くはずよ。
Your family knows you're safe.,無事は伝えたわ
- Calm down!,- 落ち着け！
But I consider you a friend.,友人でいたいと思っている
"Buddy, anything I can do for you is aces by me.",俺は機械はいじれないです
Because you already have been...,何年も前から
What do you people want anyway?,何がしたいんだ？
Morning.,おはよう
"It was ""qwerty.""",クワーティです
- Feds?,- 連邦警察は？
"What you think, this is a joke, Josh?",これはお遊びか？
- Unbelievable!,- 信じられないわ
(SIGHS),（ため息）
"Yeah, Captain pulled some strings with the commissioner.",現場に戻ったのね？ ああ　警部が警視総監に口添えしてくれた
"He was conspiring with Sherrington, not Mycroft.",その後　シェリントンが
"I'm not happy where this conversation is going, Frank.",話が不穏だな
One degree up bubble. Depth ten meters.,潜舵角 １度アップ 深度１０
You can't even say what it was in the first place.,どうして分るの？ そもそも 何だったのかも分らないのに
"Okay, now it's my turn.",- 今度は私の番よ - 何のさ？
It was Gordon Way.,ゴードン・ウェイだった
- [phone rings] [phone buzzing],- [電話の鳴き声] [電話のブザー音]
Why are you doing this?,どうして こんな...
The horse.,何だって？
Slade. Please.,スレイド...
- like some sort of ghost.,ある種の幽霊のように
Bolt?,ボルト？
"I know this girl, her name is Aleya.",この少女を知ってる 彼女の名前はアリア
Well that's just fantastic!,感動だよね　泣けるわ
The blood splatter patterns and trajectory of the remains... only a high-speed collision could have done this.,血の跳ねたパターンと 軌道の跡からー 何かが高速で衝突したようだ
I'm allergic to is you.,お前だよ
That was me knocking your ass to the dirt with your own hand.,？ 尻もちつかせてやったのさ あんたの手でな
"Well, I wanted to be here. So?",あぁ　ここにいたくて
This is how grateful I am. I'm going to give you the last of my muffin.,お礼に　マフィンの残りをあげるわ
Yeah. And New Year's.,新年よ
You saw him.,あなたは あの子の姿を見た
You must move quickly.,捕まりたくなきゃ 急ぎな
"You know, to tell you the truth, I don't understand you either.",どっちもよく分からん
"Anywhere else on the planet, this species lives a dozen years, at most.",世界中のどこでも この種の寿命は12年ほどだが
Derek... is a selfish jerk.,デレク... 利己的な反射をしています。
"The Day whereon ye behold it, every suckling woman shall forget that which she suckleth, and every burthened woman shall lay down her burthen; and thou shalt behold mankind as drunken, whereas drunken they will be not, but the torment of Allah shall be severe.",その日あなたがたは見るだろう。凡ての哺乳する者は，哺乳することを忘れ，凡ての妊婦はその胎児を流し，また人びとは酔わないのに，酔いしれたように見えよう。思うに，アッラーの懲罰が厳しいからである。
"Come on, move it!",さっさと歩け！
- Different sizes.,- 違う大きさ･･･
Projects stored in a file,ファイルに保存されているプロジェクト
And now they're framing us for the assault of Anna's kid.,アンナの娘っ子をやったのが 俺かパーカーかと
How much did you find?,どのくらい見つかったの？
It began to rain cats and dogs.,雨が土砂降りに降り始めた。
"ls it that your body is too massive... for your teeny- tiny head... or is it that your head is too teeny- tiny... for your big, fat body?",とても 小さな オツム の ため か な ？
"Margot, please.",マーゴット、お願いします。
"Media got a hold of the program name, which means your old boss control just lost it.",マスコミは プログラム名を入手した すなわち　君の昔の ボスは支配力を失った
You cannot get blood out of a stone.,ない袖は振れない。
"Backstreet was the only legitimate boy band that ever came out of Florida, period.",バックストリートはフロリダから出た 唯一まともなグループだぞ
"You shot my baby, daddy!",アイツが殺したの！
Looks like we'll need a change of venue.,会場の変更をする 必要があるようだ
Doesn't sound so bad to me.,悪い気はしませんね
"Come on, start pounding out a lead.",- 望みは？ - 君が知る全てだ
That has come on in the last few years. He's one of the best.,この何年かで 最高の選手でしょう
"Tomorrow, they are taking me to the authorities, who will house me in something that is not an orphanage, but still doesn't sound like the sort of home we were really hoping for.",明日僕は当局に 連れていかれます 孤児院ではなく どこか収容先を探してくれる でも普通の家庭であればと 心から願います
But the young lady want s only four.,ね 12人だよ 最近のお嬢さんは2人でも十分なのに4人よ
All right.,はいよ
We didn't even know Where to find that idiot!,居場所も分らんのだぞ！
"- The fire, it's at the dairy farm. - Mitchell's?",酪農場で火事よ ミッチェルのところ？
It'll all fit.,これでいい
You and your fucking lies,嘘ばかりこくな
- I told them where we are!,- ここにいるって知らせた
"If Natsu marries Ando-san, then it will make ""Andonatsu"", won't it?",奈津さんが安藤さんと結婚したら、「あんどうなつ」になっちゃうんだよね。
Unfortunately please,残念ですが お願いします
Let go of my...,-腕を...
"Yeah, yeah, sure. I can...",あぁ　いいとも
Drink. You will have a taste of my power.,飲め　力の味覚を味わうのだ
"And some black licorice, Jeremy!",グミも頼む ジェレミー
So unfair.,卑怯だな
Then this gentlemen will kill you both.,その後　この人達が 君らを殺すだろう
"Jonny Wu says it's all about seeing the humor in the chaos, right? Right?","ウーが言ってた ""混乱を楽しめ"""
I've just been enjoying the view.,景色を楽しんでるところよ
"Oh, fuck.",Fuck
"I did three tours in Abukesh, a battle that cost the lives of two million soldiers, and I'd rather be back there than have to deal with these bureaucrats.",アブケッシュの3回の戦いで 200万の兵士を犠牲にした 私は官僚の相手をするより むしろ帰りたい
"Ah, she isn't in the study hall?",（生徒4) あ自習室じやないですか？
Stiff!,そのまんまさ
Something bigger?,デカく？
How you like them nipples? Did you just do the catchphrase?,マラソンで勝つには 乳首に絆創膏が必要なのさ！
- And which would you prefer?,"""あなたは どっちがいいの？"
Horse 2 to 3.,馬を２から３
Holy shit!,なんて事だ！
Excuse me?,なんだって？
"Yep, they got ether.",みんなそうさ
Nowadays it is not unusual for a woman to travel alone.,最近では女性が一人旅をすることは珍しいことではない。
He showed great reverence towards the pictures of the god.,彼は神の絵に対して深い尊敬の念を示した。
"I'm Sandra and this is my husband, Howard.",私はサンドラ そして主人のハワード
"Attention, businessmen as ourselves could do without.",注意しろ オレ達なしでビジネスはできない
Walter's home.,ウォルターが帰ってる
"ROMANOFF: Stark, we're on your three, headed northeast.","""もうすぐ着くわ"""
"Believe me, Marty, you're better off... without having to worry about all the aggravation... and headaches of playing at that dance.",オーディションに落ちたのは 幸いなんだよ パーティーでの演奏なんて 頭が痛いぞ
"- Listen, it happens all the time. They let those kids run wild up there.",近ごろ　よくあることさ
Justineau!,ジャスティナウ！
I wanna be your friend.,お前の友達になりたい
"Fight, fight, fight, fight, fight, fight!",やれ　やれ　やれ、 やれ　やれ　やれ！
Chocolate with whipped cream.,チョコレートとクリームも
Morphology. Longevity. Incept dates.,おれたちの構造　寿命 製造年月日
- We'll do this!,- やるんだ
All the traffic was brought to a standstill by the accident.,事故ですべての交通は止まった。
Any luck on the phone records?,電話は？
Seems like he's on to something.,何か知ってるかも
But you were.,そうだね
The prisoners are in chains.,囚人たちは鎖につながれている。
The morning before the show didn't feel like any other day.,ショーの朝は いつもと違ってた
Mac support,Mac サポート
"Howdy, Ryan. - How are ya?",ライアンです よろしく
"- Yeah, that's fine.",- ああ　バッチリ
"- Oh, fuck.",- おぉ くそ
"OLD JOE (OVER PHONE): Dale, wait. Slow down.",待て　落ち着け
"He's more than that. If you'd get us a fight, you'd see.",やらせてくれたら分かるよ
- You always think the worst of me.,- いつも俺を悪く考えてるんだろ
Morristown,モリスタウンCity in Tennessee USA
"I love you, but if I open the door, then nothing's gonna change.",あなたを愛してるわ でも今 私が扉を開けても 何にもならないの
"- Because when I am with you, what I feel...",私にとって あなたは特別なの
I'm not a big Francophile.,フランスかぶれじゃ ないんだ
But it's gonna have to be a good squeeze.,揉ませるならな
"It was used in the manufacture of cigarette filters, as if cigarettes didn't kill you fast enough.",タバコのフィルターに 使われてたんだ 早死にしないように
"Come on, Frodo.",フロドさん
Tight. There we go.,強く　さぁ
Al suelo.,≪床に伏せろ≫
They're streaming the trial.,奴らは裁判を映像で流してる
Thank you.,こちらこそ
Thought you could fuck me over?,騙されるとでも 思っているのか？
Do you love Reed?,あなたはリードを愛していますか?
Who are Herman and Reba Weinraub?,それは誰なんだ？
Wait for Murphy to come out and jump him?,マーフィーが出てくる ところで取り押さえるか？
"But don't get me wrong, we're very much Americans, too, but... our families, and the roots we share, are situated in the culture of this very city.",私たちの家系の ルーツは同じで 正しくこの都市の 文化の中に位置しています
"God holds the heavens and the earth, lest they fall apart. And were they to fall apart, there is none to hold them together except He. He is Most Clement, Most Forgiving.",本当にアッラーは，天と地の運行が外れないよう支えられる。もしそれら両者が，外れることがあるならば，かれをおいて何ものもこれを支え得るものはない。本当にかれは，我慢強い方，何回も赦される方であられる。
"Skyler, isn't that freezing?",スカイラー、どこまで行くの？
"Micchan, long time no see.",（六坂）ミッちゃん　久しぶりだな。
It wasn't dying that he was afraid of.,彼は死を恐れていなかったわ
Like they don't already know that?,それが分からないほど―
We made a list. People who might have done it.,リストを作ったの あの子を殺しそうな人物
Nothing that ruins your life,人生をふいにしないように
"No way, man!",するかよ
- Same as when you were a little girl. That song you were humming yesterday...,子供の時と変わっていない
Why? You did nothing!,何もしてないのに
Why don't you do them to Tom instead?,かわりにトムにすれば　いいじゃないか！
- Viola! What are you doing here? - Odd!,ヴァイオラ なぜここに
"It's amazing, all these facilities and you make a piece of crap like this.",どうすりゃこんなモンが 作れるっていうのさ 工場ではクソでも 作ってるって言うのかい
"Every man, woman, and child who can fire a weapon or fill a sandbag is spoken for.",男も女も子供も仕事がある
"When he finally let me out, I...",彼に開放されて
Deer hunting.,シカを狩りに
"If there is a lot of traffic in the streets, we say in English that the traffic is heavy.",通りの交通量が多ければ、英語では「Ｔｈｅ ｔｒａｆｆｉｃ ｉｓ ｈｅａｖｙ」という。
We can't even guard Mole's Town.,俺達はモールズタウンすら守れなかった
So... you want to start by sharing some names with me.,まず... 名前を知ることから 始めようか
Not ultra.,スーパーメガだ
I've discovered the test has a margin of error.,誤差の許容範囲に問題が
Man is also an animal in a broad sense.,広い意味では、人間も動物だ。
I am being patient.,私は　辛抱強い方ですよぉ
It is written in the scriptures.,聖書に書かれている。
You belong to me now. It is your duty to tell me the truth.,お前は私のものだ 真実を述べるのがお前の使命だ
There's room for a pool here.,ここにもプールが
- Please.,- お願いです
"How is it that you always manage to say the right thing... do the right thing, be the right thing?",どうしてあなたはいつも 的を得たことを言えるの・・ 正義を為せ　正義漢たれ　かな？
The only external access point to Quinn's underground facility is from a beach cove.,ここがクウィン邸唯一の外部へのアクセスポイントだ。 地下施設へはビーチの入り江から入る。
It looked to me that he was...,彼を見つけた時
Network - A Desktop PC,ネットワーク - デスクトップ PCStencils
I gotta get outta here.,ここから立ち去る
That's Albert Magnuson.,- アルバート・マグヌソンだ
"Then there's a poem, but we might want to start on the soup since it's 46 stanzas.",この後に詩が続くんですが 46節もありますから スープを分け始めた方が良いかと
- Wait. You fired it?,- 撃ったのか？
"There's one, two, three--",１、２、３−
Excuse me.,すいません
What do you think of war?,戦争をどう思いますか。
"You made the best out of a bad situation, because now you see... everything isn't always so black and white.",悪い状況で頑張った 今 君は... すべてに白黒付けられない
You were Owen.,あなたはオーウェンよ
Surrogates...,サロゲイトだ...
How do you know I'm a Grimm?,グリムだって 判るのは？
Don't cry.,泣かないで
Hallelujah!,ハレルヤ！
I'm sending Louis a package.,ルイス宛に荷物を送る
"""What is that?""",「あれは何だ？ 」
"Lynch, I presume.",リンチだろう
I'm heading in your direction. Give me an update.,"""車で向かっています どっち？"""
But it's like you said-- we got a job to do.,あなたは仕事をしろ、って
Prev,"(PHP 3, PHP 4)"
He cursed us to struggle by the sweat of our brow to survive!,生き残るために 闘うから呪われる
Where did you go?,どこ行ってきたの？
"You know, one time when Kyle and I were kids, we saw two tunnel trolls go at it over a can of stewed tomatoes.",俺とカイルが子供だった時 二人のトンネルトロールが トマト缶を争ったのを見た
"I was in a helicopter, sir, and there was a storm, sir.",自分はヘリコプターに乗っていました そして、嵐がありました
She wants to know what she's done.,どうしてなのか理由を尋ねています。
I couldn't hear you all the way there.,ちょっと 遠すぎて聞こえません
"One, two, three,",１　２　３
- Just toss it up.,- 投げてくれ
No...,いや
"You don't know what you're talking about, you dumb Okie.",この野郎
"He knows I'm alone. Let's go, boy.",私が一人だと知ってる
Do you want me to lay the table?,支度をしておく？
CATHOLIC CHURCHCATECHISM,"""カトリック教理問答書"""
"It's him, headmaster. The one they all talk about.",あれは彼でしたわ 校長 皆が言ってる通りの姿でしたもの
All of my kids went to Boston to visit my parents.,ウチの子どもたちは皆私の両親に会いにボストンに行きました。
Did you talk to the owner of that new bar on 35th?,３５番街のバーの店主とは 話をつけたか？
Because it was my idea to notify the military.,軍への通知は 私の考えだったからです
A friendship hug.,友情の抱擁だから
Good. Great work.,よし　よくやった
"Here, boy!",ここだぞ、ぼうや！
"Walter, take a look at this.",これを見ろ
-The blond one?,- 金髪？
God makes angels. Jesus was fond of fishermen.,神が天使を作る イエスは漁師好き
But I hurt people... that mean everything to me.,人殺し 俺には それがすべてだ
I'd like to express our sincere gratitude for your most generous gift.,あなたの寛大な贈り物に対して 感謝の意を表したいと思います
Maybe one day I'll take you to Winterfell.,いつか君をウィンターフェルに連れていけるかも
Move!,急いで！
"Working late, Dr. Switzer?",先生 当直ですか？
"Enter here the Subject Reference Number. Provides a numeric code to indicate the Subject Name plus optional Subject Matter and Subject Detail Names in the language of the service. Subject Reference is a number from the range 01000000 to 17999999 and represent a language independent international reference to a Subject. A Subject is identified by its Reference Number and corresponding Names taken from a standard lists given by XMP/ NAA. If a standard reference code is used, these lists are the English language reference versions. This field is limited to 8 digit code.",ここにサブジェクトの参照番号を入力します。この数値コードは、サービスの言語でサブジェクト名と任意のサブジェクトマター (Subject Matter) およびサブジェクトディテール (Subject Detail) を示します。参照番号は 01000000 から 17999999 の 8 桁の数値で、言語に依存しない国際的な参照表現に関連付けられています。サブジェクトは参照番号と XMP/NAA による標準リストの対応する名前によって識別されます。標準の参照コードを使用した場合、これらのリストの参照表現は英語になります。このフィールドは 8 桁の数字に限ります。
"- To properly pay me back, you'll be the stuntman in the film I'm making for Screen Test, and you're not allowed to tell anyone or I'll smash your face in.",-コンテストに出す映画の スタントマンをやれ 誰にも言うな 言ったら殴るぞ　わかったか?
Please.,お願いします
It smelled like fur and static in here for like a week.,それは　1週間 毛皮のような臭いがしました
"They gotta be jumping out of the plate, they gotta be alive.",材料は新鮮でなきゃダメだ
Good day. How are you today?,こんにちは、今日のご機嫌はいかがですか。
"Oh, no. I don't do drugs.",ドラッグは無理
"All right. Calm down, genius, huh?",落ちつけ天才
They all put their names to it. The list is as long as your arm.,彼らはそれに署名した そのリストはあなたの腕より長い
Because the case against me is gonna collapse.,俺に対する容疑は　崩れるからだ
The young man said I would find the High Sparrow back here. Where is he?,若者がハイスパローならここにいると聞いたのだけど？
No reason to thank me.,不要だ
I wish he would write more often.,彼がもっと便りをくれればいいのですが。
"Whatever's going on with Gideon, it's in his head.",奴が何を考えようと
"So, we believe that this man is responsible for the blast?",この男が爆発に関与している疑いがあるんですか?
Okay. But don't give up on dinner either.,オーケイ でも　夕食も諦めないで
- Nah.,- いいや
It's time to go work on your act.,お前達が稽古する時間だよ
- i can't believe there was a time when i actually thought i could learn something from you.,あんたから何か学べると 思ったなんて 今では信じられないよ
You meet Daryl at red. Let him take them through the gauntlet.,ダリルと赤地点で やつらをおびき出せ
Then I'll do it.,じゃ、私からだ
"Yes, but the case will be closed.",だが捜査は終わりだ
Returns TRUE on success or FALSE on failure.,"(PHP 3, PHP 4)"
Request Aborted,要求は中止されました
Don't push it.,押すんじゃない
Face front.,正面を向け
Why would I-- people will be asking questions soon about what happened to your employer.,なんで・・・ 雇い主に起こったことを 人はすぐに詮索する
Eh?,えっ？ あっ｡
"Get your mind opened, is that it, huh?",心が開けた ってか？
- It's raining.,―雨降ってるわ。
Excuse me.,ちょっと
"Everything I believed, the great victory I saw in the flames, all of it was a lie.",私の信じた事全部 炎の中に見た勝利 全て嘘だった
Snipers taking potshots at cops.,狙撃手が警官を 手当たり次第撃っていた
"So, uh, I was wondering...",考えてたんだけどさ
"Well, that's how he does it.",なるほど 方法が判った
"I'm sensitive to the chemicals in dry cleaning, and they use only the gentlest emollients.",僕は　ドライクリーニングの薬品に 敏感なんだ 彼らは　最も穏やかな作用の柔軟剤だけを 使っている
My work is not complete yet.,私の仕事はまだ未完成です。
"Grumpy, Happy, Bashful...","グルンピー, ハッピー, バシュフル..."
"Despite Hayden's criminality and his malfeasant theatrics,",ヘイデンの犯罪行為と 違法行為の芝居にも関わらず
You're his First Officer. You could talk to him for me.,お前は副長だ お前なら話ができるだろ
"I'd say you were a former MI-6, and your team-- all ex-SAS.",あなたがかつてMI -6だった事を話すよ そしてチームは全て 以前のSASであったことも
_,_ハーピーの息子が
The FBI thinks you're working with Red John?,あなたがレッド・ジョンの仲間だと FBIは　考えてるの？
I'm thinking maybe it's time that we put those sketches out to the media.,メディアに公表した方が いいかもしれないな
"If you or Quinn, or you and Quinn, have got problems with this, with what I've done with ""the boy,""",あなたかクイン、 いや、あなたとクインが いろいろ文句があるなら つまり私がエッチしたこととか 少年とかの話よ
- A bear.,- クマちゃん
You shouldn't lie to me.,私に嘘をつかないでね
No need.,国境警備隊だ...
She's in a state of shock from the blood loss.,大實失血にょるシ ヨ 'グ クね
In Tuxhorn's house it must've been left next to his pda.,置いてあったとき、携帯近くにあったらしい。
"Yes, i've worked the stockroom before, sir.",先生 分かりました
Comandante!,指揮官！
It's hard to say.,言い難いな
She's slowing' us down.,おかげで進むのが遅れる
"$4,100 plus change per month.",月に4100前後
"The king said, ‘Bring him to me, I will make him my favourite.’ Then, when he had spoken with him, he said, ‘Indeed today [onwards] you will be honoured and trustworthy with us.’",（これらの報告を聞いて）王は言った。「かれをわたしの許に連れて参れ。わたしは側近としてかれを引き立てよう。」そこでかれ（王）は，かれ（ユースフ）と話を交した後，言った。「今日あなたは，確かにわたしの側近である。高位につけられ，信頼されているのである。」
You can almost see time passing.,時の流れを感じられるはずだ
Who?,誰？
"Sir, where are we going?",どこに行くの?
Spitting fire.,火の唾だ
We should get to your song today.,今日はアナタの歌を
Clear!,クリア！
♪ There's no slippin' When he wants to take hold ♪,♪ There's no slippin' When he wants to take hold ♪
"Because my last blind date was a disaster, all right?",出会い系サイトで出会った 女性なんて最悪だから
"Yeah, you can't dwell on that, though.",深く考えるな
We usually play tennis after school.,私たちはふつう放課後にテニスをする。
"Oh, interesting.",興味深い
- [Bertie] What is it? - Oh!,何なんだ？
- That's it? Three guys?,３人だけか
Hey!,おい！
"And if you knock, knock me over I will get back up again",もし倒されても 立ち上がるから
Sure. Anything you want.,好きにしてください
"Oh, God!",おお、神様！
Because then I'd get to hug and kiss you anytime I wanted to.,だって　いつでも貴方を 抱きしめてキスできるし
"I just hope that in time, you'll see that I'm telling the truth.",わかってくれるといいけど すぐに本当だと 信じてもらえるわ
I think that's why we spooked each other.,そういうわけで お互いに動揺したんだわ
I guess we're just not powerful enough.,力が足りなかった様ね
"Our company is always at your service, ma'am.",いつでもお客様のご要望にお応えします　マダム
There's a fingerprint lock on the door.,指紋認証がついてる
Do me a favor. 'Stu cazzo in the red tie? Get rid of him.,あの赤いタイの奴 つまみ出せ
"Gordo, when I say back up, you back up. Left stick. All right, all right.",ゴルド　俺が合図したら 左に下がれ
"Even if we could get the batteries recharged somehow, we'd still have to bypass this panel.",再充電が出来たとしても このパネルにバイパスする必要がある
Better than you.,少なくともあなたよりは
"And he decided to go hike the amazon with her for a year, You know, live off the grid,",その子を追ってアマゾンまで
I just got called in to a stakeout.,ちょうど張り込みで呼ばれました
"Cheers to our future, baby.",２人の未来に乾杯
"I, uh, I compared the fingerprint with ones I lifted from Emily's cell phone.",エミリーの携帯電話から 採取した指紋と比較した
I will open Qarth to the world as I have forced it to open itself to me.,私がクァースを世界に解放する 私がクァースにそうさせたように
Come over here. We're almost there.,こっちへ もう少しだから・・
Close your eyes.,目を閉じて
Myanmar,ビルマ文字QFontDatabase
Where's Defiance?,- ディファイアンスはどこだ？
- Solomon. - Yeah.,ソロモン
"Things move fast now, babe.",そうだ　早いぞ
- I seek but one thing.,- 望みがただ一つだ.
"No. I don't need to warn you, Ivan. I have complete trust in Todd.",そんなことする必要ないわ トッドは完全に信頼してるし
Maybe I should see a doctor.,医者に診てもらわないと
They had good flashes of inspiration about this plan.,この計画について彼らによい霊感のひらめきが起こった。
Wade!,ウェイド！
"Ren, there is a war on. You come with me.",闘いはこれから あなたこそ来て
Shh!,_のShh！
I'm gonna guess this man was suffering from rheumatoid arthritis.,この男は　関節リウマチに 苦しんでたんだろうね
I want you to go home.,頼むから帰ってくれ
"- Link, what did I tell you?",- リンク 言ったはずだ
Who is this?,誰ですか？
- You hang in.,- お前は頑張ってるよ
Disgusting!,気持ち悪い！
They may never know you were in.,誰も精神病院の中にいたとは思わないだろうね。
"Come on, man, sit down.",さあ 座れって
I need to show you. You'll see.,見せてあげるわ 今に分かる
You free for dinner?,夕食でも、どう？
We have to warn them.,警告をしたいの
"Lo! those who hide aught of the Scripture which Allah hath revealed and purchase a small gain therewith, they eat into their bellies nothing else than fire. Allah will not speak to them on the Day of Resurrection, nor will He make them grow. Theirs will be a painful doom.",アッラーが啓示された啓典の一部を隠し，それで僅かな利益を購う者は，その腹の中に火だけを飲み，復活の日にアッラーの御言葉もなく，また清めてもいただけないであろう。かれらは痛ましい懲罰を受ける。
They will share their technology with us and we will share our intel on terrorists.,ビジターは我々に技術協力 我々は彼等にテロ情報を提供
"There are no accidents, not in here.",事故など存在しない ここにはな
He is very much of a scholar.,なかなかの学者だ。
A confidence game driven by greed?,金目当てだったと？
"Just stay with me here, all right?",ここは俺に任せろ いいね？
"Actually, you could be just the man we want. Why?","""いい所に現れたよ"" ""なんだと？"""
How's your grandfather?,おじいさんの具合はどうだ？
I didn't think you'd actually say yes.,考えてなかったの イエスと言うなんて
"When you start to hear the voices again, that's how you'll know that this is working.",また声が聞こえれば あなたにも分かる
Warren! Look at this.,ウォーレン！
Everyday is the same damn joke.,毎日同じジョークさ
"He got dragged away, yelling out, ""Mama.""",彼は最後に ママ って叫んだわ
Please don't get the wrong Idea...,勘違いしないで下さい
Unsupported Action: %1,サポートされていないアクション: %1
No description available,説明はありません
"Exactly, and I'll do all the talking.",その通り　私が全部話す
Can I have the next dance?,次のダンスに出てもいいかな？
Good.,光栄だわ。
"Wait, Karly. You guys, listen. You guys did a great job.",貴方達 よくやってくれたわ
That helicopter is our only way off this island.,あのヘリコプターだけが 島を出る唯一の方法なんだ
I said no!,連れて行かない！
"A few weeks ago, this woman was, like, gung ho for a trial, right?",法廷に持ち込むと 息巻いてたのに―
"I bet he would. I bet he'd come running: You're silly, Pop-Pop.",きっとすごい音だぞ ドスン ドスンって
"Yeah, I did.",ああ、会ったよ
Pick someone.,誰か名前をあげるとしたら？
I'm really so stupid.,俺 ホント バカだ｡
Rita.,死ぬ -リタ
Would you state your full name?,貴女の姓名を
"Please say, ""I'm good.""",無事だと言って
Step away from the...,- 離れろ
Stronger.,強くなれる
"Daddy, stay there! Chappie's gonna crush the man!",パパ そこにいて やっつけてくる！
I was thinking about you.,君の事を考えてたんだ
"Josh, it's about 45 million.",ジョシュ およそ ４千５百万ドルだ
You better get on it.,それに乗らないと
"You should be careful about your cholesterol intake, Detective.",コレステロールには 気をつけた方がいいですよ
"But can you just give me something for now, just to make him sleep?",でも今は、ただ彼をー 眠らせてやれませんか？
Kind of disappointing to find she was a flake.,ご期待に添うことができません
XY minus two. R-E-Q...,XYマイナス２...
[Whimpering] [Hissing] [Woman Screaming],行ける限り一緒よ 我々の時代だ！
Joon-suk!,ジュンソク
I didn't say jack. What do you mean he's on to us?,ジャックのことは言っていない どういう意味だ？
He's not leading an army from here.,ここで何を？
"It's all right, man, she's with her family.",気にすんな 家族と一緒だからだ
"I mean,",つまり
- You said Sophie would want me to move on with my life.,- お前は言っただろ ソフィーは望んでると
"Yeah, actually, my colleague here was hoping to ask you a few questions about livestock insurance.",家畜保険のことで ちょっと話を聞きたがってる
Can we go?,もう行こうよ
